id,number,part,doc_type,edition_year,amendments,title_en,title_de,title_de_source,title_de_note,status,replaces,replaced_by,family,layer,layer_reason,isms_relation,supports_clauses,supports_controls,test,test_via,confirmation,source_1,source_2,read_on
iso-22300,22300,,is,2025,,Security and resilience — Vocabulary,Sicherheit und Resilienz - Begriffe,https://www.dinmedia.de/de/norm/din-en-iso-22300/397488192,"Title of DIN EN ISO 22300:2026-06, the DIN adoption of this edition.",published,,,continuity,reference,"A vocabulary for the resilience series, opened when a term in that series is unclear rather than read at a step of the path.",terms,,,C,iso-22301,confirmed,iso.org pages https://www.iso.org/standard/85749.html (2025),evs.ee (ISO 22300:2025 Valid from 06.11.2025; ISO 22300:2021 Withdrawn from 06.11.2025; EVS-EN ISO 22300:2025 Valid from 01.12.2025),2026-08-04
iso-22301,22301,,is,2019,,Security and resilience — Business continuity management systems — Requirements,Sicherheit und Resilienz - Business Continuity Management System - Anforderungen,https://www.dinmedia.de/de/norm/din-en-iso-22301/311095091,"Title of DIN EN ISO 22301:2020-06, the DIN adoption of this edition.",published,,,continuity,neighbour,"Business continuity is a management system of its own that an ISMS is run beside, and step 4 of the learning path is where that neighbour is met.",requirements,,,B D,,confirmed,iso.org standard page 75106 (as cataloged),webstore.ansi.org/standards/iso/iso223012019,2026-08-04
iso-22313,22313,,is,2020,,Security and resilience — Business continuity management systems — Guidance on the use of ISO 22301,Sicherheit und Resilienz - Business Continuity Management System - Anleitung zur Verwendung von ISO 22301,https://www.dinmedia.de/de/norm/din-en-iso-22313/316657353,"Title of DIN EN ISO 22313:2020-10, the DIN adoption of this edition.",published,,,continuity,neighbour,"It is the reading aid to the continuity requirements and is met together with them, one step beyond the ISMS core.",controls,,,B D,,confirmed,iso.org page 75107 (as cataloged),webstore.ansi.org/standards/iso/iso223132020,2026-08-04
iso-22316,22316,,is,2017,,Security and resilience — Organizational resilience — Principles and attributes,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,continuity,neighbour,"Organizational resilience is the wider subject the continuity neighbour sits in, and a learner reaches it after the core rather than during it.",controls,,,D,,confirmed,iso.org standard page 50053 (as cataloged),"standards.iteh.ai (ISO 22316:2017 sample PDF, sample id 50053)",2026-08-04
iso-22317,22317,,ts,2021,,Security and resilience — Business continuity management systems — Guidelines for business impact analysis,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,continuity,neighbour,"The business impact analysis is the continuity discipline's own method, taken up where continuity work has already begun.",requirements risk,,,B D,,confirmed,iso.org standard page 79000 (as cataloged),webstore.ansi.org/standards/iso/isots223172021,2026-08-04
iso-22318,22318,,ts,2021,,Security and resilience — Business continuity management systems — Guidelines for supply chain continuity management,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,continuity,neighbour,Continuity across a supply chain is a specialisation of the continuity neighbour and is met once that neighbour is.,controls sector,,,B D,,confirmed,iso.org standard page 79001 (as cataloged),knowledge.bsigroup.com (PD ISO/TS 22318:2021),2026-08-04
iso-22331,22331,,ts,2018,,Security and resilience — Business continuity management systems — Guidelines for business continuity strategy,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,continuity,neighbour,Choosing a continuity strategy follows from the continuity management system and belongs on the same step beside the ISMS.,adjacent,,,B D,,confirmed,"iso.org page 50068 (as cataloged, title only)",webstore.ansi.org/standards/iso/isots223312018,2026-08-04
iso-22361,22361,,is,2022,,Security and resilience — Crisis management — Guidelines,Sicherheit und Resilienz - Krisenmanagement - Leitlinien,https://www.dinmedia.de/de/norm/din-en-iso-22361/357117954,"Title of DIN EN ISO 22361:2023-02, the DIN adoption of this edition.",published,,,continuity,neighbour,"Crisis management sits next to continuity and outside the information security series, so it is a neighbour and not a station on the route.",adjacent,,,D,,confirmed,"iso.org page 50267 (as cataloged, title only)",knowledge.bsigroup.com (BS EN ISO 22361:2022),2026-08-04
iso-iec-24762,24762,,is,2008,,Information technology — Security techniques — Guidelines for information and communications technology disaster recovery services,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",withdrawn,,,continuity,reference,"The edition recorded here is withdrawn, so it is looked up when an older reference to disaster recovery services has to be traced.",adjacent,,,A B D,,confirmed,iso.org page 41532,genorma.com page for iso-iec-24762-2008 — full title matches,2026-08-04
iso-iec-27031,27031,,is,2025,,Information and communication technology readiness for business continuity,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,ISO/IEC 27031:2011,,continuity,depth,Readiness of information and communication technology for continuity is the deep end of the security series rather than the route through it.,controls,,,A B,,unconfirmed,iso27001security.com /standards (2025),,2026-08-04
