id,number,part,doc_type,edition_year,amendments,title_en,title_de,title_de_source,title_de_note,status,replaces,replaced_by,family,layer,layer_reason,isms_relation,supports_clauses,supports_controls,test,test_via,confirmation,source_1,source_2,read_on
iso-iec-27000,27000,,is,2026,,"Information security, cybersecurity and privacy protection — Information security management systems — Overview",,,"DIN carries DIN EN ISO/IEC 27000:2025-08 and 6 further edition(s) for this designation, none of them an adoption of the edition recorded here.",published,ISO/IEC 27000:2018 ISO/IEC 27000:2016,,core-27000,,,terms,,,A B,,confirmed,iso27001security.com,"genorma.com page for iso-iec-27000-2018 (status Withdrawn 2026-07-03, superseded by ISO/IEC 27000:2026)",2026-08-04
iso-iec-27001,27001,,is,2022,amd-1:2024,"Information security, cybersecurity and privacy protection — Information security management systems — Requirements","Informationssicherheit, Cybersicherheit und Datenschutz - Informationssicherheitsmanagementsysteme - Anforderungen",https://www.dinmedia.de/de/norm/din-en-iso-iec-27001/370680635,"Title of DIN EN ISO/IEC 27001:2024-01, the DIN adoption of this edition.",published,ISO/IEC 27001:2013 ISO/IEC 27001:2005,,core-27000,,,requirements,,,A B,,confirmed,iso27001security.com,genorma.com page for iso-iec-27001-2022 — full title with the 2022 series prefix,2026-08-04
iso-iec-27002,27002,,is,2022,,"Information security, cybersecurity and privacy protection — Information security controls","Informationssicherheit, Cybersicherheit und Schutz der Privatsphäre - Informationssicherheitsmaßnahmen",https://www.dinmedia.de/de/norm/din-en-iso-iec-27002/360599954,"Title of DIN EN ISO/IEC 27002:2024-01, the DIN adoption of this edition.",published,ISO/IEC 27002:2013 ISO/IEC 27002:2005,,core-27000,,,controls,,,A B,,confirmed,iso27001security.com,genorma.com page for iso-iec-27002-2022 — title,2026-08-04
iso-iec-27003,27003,,is,2017,,Information technology — Security techniques — Information security management systems — Guidance,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,ISO/IEC 27003:2010,,core-27000,,,adjacent,,,A B,,confirmed,iso27001security.com,genorma.com page for iso-iec-27003-2017 — full title,2026-08-04
iso-iec-27004,27004,,is,2016,,"Information technology — Security techniques — Information security management — Monitoring, measurement, analysis and evaluation",,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,core-27000,,,adjacent,,,A B,,unconfirmed,iso27001security.com /standards,,2026-08-04
iso-iec-27006-1,27006,1,is,2024,,Requirements for bodies providing audit and certification of information security management systems — Part 1: General,"Informationssicherheit, Cybersicherheit und Datenschutz - Anforderungen an Stellen, die Informationssicherheitsmanagementsysteme auditieren und zertifizieren - Teil 1: Allgemeines",https://www.dinmedia.de/de/norm/din-en-iso-iec-27006-1/379040837,"Title of DIN EN ISO/IEC 27006-1:2024-08, the DIN adoption of this edition.",published,ISO/IEC 27006:2015 ISO/IEC 27006:2011 ISO/IEC 27006:2007,,core-27000,,,requirements audit certification,,,A B,,unconfirmed,iso27001security.com /standards,,2026-08-04
iso-iec-27006-2,27006,2,ts,2021,,Requirements for bodies providing audit and certification of information security management systems — Part 2: Privacy information management systems,,,"The only DIN document for this designation is DIN EN ISO/IEC 27006-2:2023-08, which adopts a different edition.",published,,,core-27000,,,requirements audit certification,,,A B,,confirmed,iso.org standard 71676,IEC webstore publication 68631,2026-08-04
iso-iec-27007,27007,,is,2020,,"Information security, cybersecurity and privacy protection — Guidelines for information security management systems auditing","Informationssicherheit, Cybersicherheit und Datenschutz - Leitfaden für das Auditieren von Informationssicherheitsmanagementsystemen",https://www.dinmedia.de/de/norm/din-en-iso-iec-27007/349446505,"Title of DIN EN ISO/IEC 27007:2022-10, the DIN adoption of this edition.",published,ISO/IEC 27007:2017,,core-27000,,,audit,,,A B,,unconfirmed,iso27001security.com /standards,,2026-08-04
iso-iec-27008,27008,,ts,2019,,Information technology — Security techniques — Guidelines for the assessment of information security controls,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,ISO/IEC TR 27008:2011,,core-27000,,,controls audit,,,A B,,unconfirmed,iso27001security.com /standards,,2026-08-04
iso-iec-27009,27009,,is,2020,,"Information security, cybersecurity and privacy protection — Sector-specific application of ISO/IEC 27001 — Requirements","Informationssicherheit, Cybersicherheit und Datenschutz - Sektorspezifische Anwendung der ISO/IEC 27001 - Anforderungen",https://www.dinmedia.de/de/norm/din-iso-iec-27009/355290002,"Title of DIN ISO/IEC 27009:2022-09, the DIN adoption of this edition.",withdrawn,ISO/IEC 27009:2016,,core-27000,,,requirements sector,,,A B,,unconfirmed,iso.org standards 73907,,2026-08-04
iso-iec-27023,27023,,tr,2015,,Information technology — Security techniques — Mapping the revised editions of ISO/IEC 27001 and ISO/IEC 27002,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",withdrawn,,,core-27000,,,adjacent,,,A B,,unconfirmed,iso.org 61005 (web search results),,2026-08-04
