id,number,part,doc_type,edition_year,amendments,amendments_source,amendments_note,amendments_read_on,title_en,title_de,title_de_source,title_de_note,status,replaces,replaced_by,family,layer,layer_reason,isms_relation,supports_clauses,supports_controls,test,test_via,confirmation,source_1,source_2,read_on
iso-iec-7064,7064,,is,2003,none,https://www.evs.ee/en/iso-iec-7064-2003,,2026-08-05,Information technology - Security techniques - Check character systems,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,Check character systems are a narrow implementation question a learner reaches only when one has to be chosen.,controls,,,A B,,confirmed,buystandardsonline.co.uk ICS_35_030,webstore.iec.ch (publication 11581),2026-08-04
iso-iec-9797-2,9797,2,is,2021,cor-1:2024,https://www.evs.ee/en/iso-iec-9797-2-2021,,2026-08-05,Information security - Message authentication codes (MACs) - Part 2: Mechanisms using a dedicated hash-function,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,"A message authentication mechanism is picked at implementation time, well past the step where controls are decided.",controls,,,A B,,confirmed,iso.org catalogue (standard/75296; Cor 1 standard/86887) via web search,"Genorma (published 2021-06-23, stage 90.20 under periodical review, Cor 1:2024 published)",2026-08-04
iso-iec-9797-3,9797,3,is,2011,amd-1:2020,https://www.evs.ee/en/iso-iec-9797-3-2011,,2026-08-05,Information technology - Security techniques - Message Authentication Codes (MACs) - Part 3: Mechanisms using a universal hash-function,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,It sets out one more family of message authentication mechanisms and is reached only when that choice is on the table.,controls,,,A B,,confirmed,iso.org catalogue (standard/51619) via web search,"Genorma (published 2011-11-08, stage 90.93 confirmed 2022-10-31, Amd 1:2020 published)",2026-08-04
iso-iec-9798-1,9798,1,is,2010,none,https://www.evs.ee/en/iso-iec-9798-1-2010,,2026-08-05,Entity authentication - Part 1: General,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,It is the way into the entity authentication parts and is opened when one of them is needed.,requirements controls,,,B,,confirmed,iso.org catalogue (standard/53634),"evs.ee product page (iso-iec-9798-1-2010, valid, published 2010-06-16)",2026-08-04
iso-iec-10116,10116,,is,2017,amd-1:2021,https://www.evs.ee/en/iso-iec-10116-2017,,2026-08-05,Information technology - Security techniques - Modes of operation for an n-bit block cipher,,,"The only DIN document for this designation is DIN ISO/IEC 10116:1999-11, which adopts a different edition.",published,,,cryptography,depth,How a block cipher is operated is an implementation decision below the level the learning path works at.,controls,,,A B,,confirmed,buystandardsonline.co.uk ICS_35_030,evs.ee (10116:2017/Amd 1:2021),2026-08-04
iso-iec-10118-1,10118,1,is,2016,amd-1:2021,https://www.evs.ee/en/iso-iec-10118-1-2016,,2026-08-05,Information technology - Security techniques - Hash-functions - Part 1: General,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,It is the way into the hash function parts and is reached when a specific hash function has to be selected.,requirements controls,,,A B,,confirmed,iso.org catalogue (standard/64213) via web search,"Genorma (published 2016-10-14, stage 90.93 confirmed 2022-05-19, Amd 1:2021 published)",2026-08-04
iso-iec-10118-2,10118,2,is,2010,cor-1:2011,https://www.evs.ee/en/iso-iec-10118-2-2010,,2026-08-05,Information technology - Security techniques - Hash-functions - Part 2: Hash-functions using an n-bit block cipher,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,"One construction of a hash function among several, met only where that construction is under discussion.",controls,,,A B,,confirmed,iso.org catalogue (standard/44737; Cor 1 standard/59994) via web search,"Genorma (published 2010-10-11, stage 90.93 confirmed 2021-11-15, Cor 1:2011 published)",2026-08-04
iso-iec-10118-3,10118,3,is,2018,none,https://www.evs.ee/en/iso-iec-10118-3-2018,,2026-08-05,IT Security techniques - Hash-functions - Part 3: Dedicated hash-functions,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,The named hash functions are looked up when an implementation has to name the one it uses.,controls,,,A B,,confirmed,iso.org catalogue (standard/67116) via web search,"Genorma (published 2018-10-31, stage 90.93 confirmed 2024-05-03, supersedes 2004 edition)",2026-08-04
iso-iec-10118-4,10118,4,is,1998,amd-1:2014 cor-1:2014,https://www.evs.ee/en/iso-iec-10118-4-1998,,2026-08-05,Information technology - Security techniques - Hash-functions - Part 4: Hash-functions using modular arithmetic,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,"A further hash function construction, reached only from a concrete implementation question.",controls,,,A B,,confirmed,iso.org catalogue (standard/25429) via web search,"Genorma (published 1998-12-20, stage 90.93 confirmed 2022-05-19, Amd 1:2014 and Cor 1:2014 published)",2026-08-04
iso-iec-11770-1,11770,1,is,2010,none,https://www.evs.ee/en/iso-iec-11770-1-2010,,2026-08-05,Information technology - Security techniques - Key management - Part 1: Framework,,,"No DIN document for this designation in the DIN Media catalogue, so no German title.",published,,,cryptography,depth,"Key management is met as a control long before this framework is needed, and the framework is where the depth begins.",requirements controls,,,A B,,confirmed,iso.org catalogue (standard/53456) via web search,"Genorma (published 2010-11-22, stage 90.93 confirmed 2021-11-15, replaces withdrawn 11770-1:1996)",2026-08-04
