id,number,part,doc_type,edition_year,amendments,title_en,title_de,status,replaces,replaced_by,family,layer,layer_reason,isms_relation,supports_clauses,supports_controls,test,test_via,confirmation,source_1,source_2,read_on
iso-iec-27010,27010,,is,2015,,Information technology — Security techniques — Information security management for inter-sector and inter-organizational communications,,published,ISO/IEC 27010:2012,,extended-27000,,,sector,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27011,27011,,is,2024,,"Information security, cybersecurity and privacy protection — Information security controls based on ISO/IEC 27002 for telecommunications organizations",,published,ISO/IEC 27011:2016,,extended-27000,,,controls sector,,,A B C,iso-iec-27002,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27013,27013,,is,2021,,"Information security, cybersecurity and privacy protection — Guidance on the integrated implementation of ISO/IEC 27001 and ISO/IEC 20000-1",,published,ISO/IEC 27013:2015,,extended-27000,,,adjacent,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27014,27014,,is,2020,,"Information security, cybersecurity and privacy protection — Governance of information security",,published,ISO/IEC 27014:2013,,extended-27000,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27015,27015,,tr,2012,,Information technology — Security techniques — Information security management guidelines for financial services,,withdrawn,,,extended-27000,,,sector,,,A B,,unconfirmed,iso.org,,2026-08-04
iso-iec-27016,27016,,tr,2014,,Information technology — Security techniques — Information security management — Organizational economics,,published,,,extended-27000,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27017,27017,,is,2015,,Information technology — Security techniques — Code of practice for information security controls based on ISO/IEC 27002 for cloud services,,published,,,extended-27000,,,controls,,,A B C,iso-iec-27002,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27019,27019,,is,2024,,"Information security, cybersecurity and privacy protection — Information security controls for the energy utility industry",,published,ISO/IEC 27019:2017,,extended-27000,,,controls sector,,,A B C,iso-iec-27002,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27021,27021,,is,2017,amd-1:2021,Information technology — Security techniques — Competence requirements for information security management systems professionals,,published,,,extended-27000,,,requirements competence,,,A B D,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27022,27022,,ts,2021,,Information technology — Guidance on information security management system processes,,published,,,extended-27000,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27024,27024,,tr,,,Information on government and regulatory use of information security standards,,under_development,,,extended-27000,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27028,27028,,ts,,,Guidance on ISO/IEC 27002 attributes,,under_development,,,extended-27000,,,controls,,,A,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27032,27032,,is,2023,,Cybersecurity — Guidelines for Internet security,,published,ISO/IEC 27032:2012,,extended-27000,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27033-1,27033,1,is,2015,,Network security — Part 1: Overview and concepts,,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27033-2,27033,2,is,2012,,Network security — Part 2: Guidelines for the design and implementation of network security,,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27033-3,27033,3,is,2010,,"Network security — Part 3: Reference networking scenarios — Threats, design techniques and control issues",,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27033-4,27033,4,is,2014,,Network security — Part 4: Securing communications between networks using security gateways,,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27033-5,27033,5,is,2013,,Network security — Part 5: Securing communications across networks using Virtual Private Networks (VPNs),,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27033-6,27033,6,is,2016,,Network security — Part 6: Securing wireless IP network access,,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27033-7,27033,7,is,2023,,Network security — Part 7: Guidelines for network virtualization security,,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27034-1,27034,1,is,2011,cor-1:2014,Application security — Part 1: Overview and concepts,,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27034-2,27034,2,is,2015,,Application security — Part 2: Organization normative framework,,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27034-3,27034,3,is,2018,,Application security — Part 3: Application security management process,,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27034-4,27034,4,is,,,Application security — Part 4: Validation and verification,,deleted,,,extended-27000,,,controls audit,,,A,,confirmed,genorma.com,,2026-08-04
iso-iec-27034-5,27034,5,is,2017,,Application security — Part 5: Protocols and application security controls data structure,,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27034-6,27034,6,is,2016,,Application security — Part 6: Case studies,,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27034-7,27034,7,is,2018,,Application security — Part 7: Assurance prediction framework,,published,,,extended-27000,,,controls,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27035-1,27035,1,is,2023,,Information security incident management — Part 1: Principles and process,,published,ISO/IEC 27035-1:2016,,extended-27000,,,controls,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27035-2,27035,2,is,2023,,Information security incident management — Part 2: Guidelines to plan and prepare for incident response,,published,ISO/IEC 27035-2:2016,,extended-27000,,,controls,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27035-3,27035,3,is,2020,,Information security incident management — Part 3: Guidelines for ICT incident response operations,,published,,,extended-27000,,,controls,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27035-4,27035,4,is,2024,,Information security incident management — Part 4: Coordination,,published,,,extended-27000,,,controls,,,A B,,confirmed,iso27001security.com,en-standard.eu,2026-08-04
iso-iec-27036-1,27036,1,is,2021,,Cybersecurity — Supplier relationships — Part 1: Overview and concepts,,published,ISO/IEC 27036-1:2014,,extended-27000,,,controls,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27036-2,27036,2,is,2022,,Cybersecurity — Supplier relationships — Part 2: Requirements,,published,ISO/IEC 27036-2:2014,,extended-27000,,,requirements controls risk,,,A B,,confirmed,iso27001security.com,iso.org,2026-08-04
iso-iec-27036-3,27036,3,is,2023,,"Cybersecurity — Supplier relationships — Part 3: Guidelines for hardware, software, and services supply chain security",,published,ISO/IEC 27036-3:2013,,extended-27000,,,controls,,,A B,,confirmed,iso27001security.com,iso.org,2026-08-04
iso-iec-27036-4,27036,4,is,2016,,Information security for supplier relationships — Part 4: Guidelines for security of cloud services,,published,,,extended-27000,,,controls,,,A B,,confirmed,iso27001security.com,iso.org,2026-08-04
iso-iec-27037,27037,,is,2012,,"Guidelines for identification, collection, acquisition and preservation of digital evidence",,published,,,extended-27000,,,controls,,,A,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27038,27038,,is,2014,,Specification for digital redaction,,published,,,extended-27000,,,controls,,,A,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27039,27039,,is,2015,,"Selection, deployment and operations of intrusion detection and prevention systems (IDPS)",,published,,,extended-27000,,,controls,,,A,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27040,27040,,is,2024,,Storage security,,published,ISO/IEC 27040:2015,,extended-27000,,,controls,,,A,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27041,27041,,is,2015,,Guidance on assuring suitability and adequacy of incident investigative method,,published,,,extended-27000,,,controls,,,A,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27042,27042,,is,2015,,Guidelines for the analysis and interpretation of digital evidence,,published,,,extended-27000,,,controls,,,A,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27043,27043,,is,2015,,Incident investigation principles and processes,,published,,,extended-27000,,,controls,,,A,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27044,27044,,is,,,Guidelines for security information and event management (SIEM),,published,,,extended-27000,,,,,,A,,unconfirmed,genorma.com,,2026-08-04
iso-iec-27045,27045,,is,,,Big data security and privacy — Guidelines for managing big data risks,,under_development,,,extended-27000,,,risk,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27046,27046,,is,,,Big data security and privacy — Implementation guidelines,,under_development,,,extended-27000,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27050-1,27050,1,is,2019,,Electronic discovery — Part 1: Overview and concepts,,published,ISO/IEC 27050-1:2016,,extended-27000,,,,,,A,,confirmed,iso27001security.com,iso.org,2026-08-04
iso-iec-27050-2,27050,2,is,2018,,Electronic discovery — Part 2: Guidance for governance and management of electronic discovery,,published,,,extended-27000,,,risk,,,A,,confirmed,iso27001security.com,iso.org,2026-08-04
iso-iec-27050-3,27050,3,is,2020,,Electronic discovery — Part 3: Code of practice for electronic discovery,,published,ISO/IEC 27050-3:2017,,extended-27000,,,,,,A,,confirmed,iso27001security.com,iso.org,2026-08-04
iso-iec-27050-4,27050,4,is,2021,,Electronic discovery — Part 4: Technical readiness,,published,,,extended-27000,,,,,,A,,confirmed,iso27001security.com,iso.org,2026-08-04
iso-iec-27070,27070,,is,2021,,Requirements for establishing virtualized roots of trust,,published,,,extended-27000,,,requirements,,,A,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27071,27071,,is,2023,,Cybersecurity — Security recommendations for establishing trusted connections between devices and services,,published,,,extended-27000,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27090,27090,,is,,,Cybersecurity — Artificial intelligence — Guidance for addressing security threats and compromises to AI systems,,under_development,,,extended-27000,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
