id,number,part,doc_type,edition_year,amendments,title_en,title_de,status,replaces,replaced_by,family,layer,layer_reason,isms_relation,supports_clauses,supports_controls,test,test_via,confirmation,source_1,source_2,read_on
iwa-17,17,,iwa,2014,,Information and operations security and integrity requirements for lottery and gaming organizations,,withdrawn,,,other,,,requirements sector,,,B C,iso-iec-27001,confirmed,iso.org,genorma.com,2026-08-04
iso-5112,5112,,ts,,,Road vehicles — Guidelines for auditing cybersecurity engineering,,under_development,,,other,,,audit sector,,,B,,confirmed,iso.org/standard/92730,sae.org,2026-08-04
iso-7498-2,7498,2,is,1989,,Information processing systems — Open Systems Interconnection — Basic Reference Model — Part 2: Security Architecture,,published,,,other,,,terms controls,,,B,,confirmed,iso.org,evs.ee/en/iso-7498-2-1989,2026-08-04
iso-iec-17922,17922,,is,2017,,Information technology — Security techniques — Telebiometric authentication framework using biometric hardware security module,,published,,,other,,,certification adjacent,,,A B,,confirmed,buystandardsonline.co.uk,evs.ee,2026-08-04
iso-iec-20000-1,20000,1,is,2018,,Information technology — Service management — Part 1: Service management system requirements,,published,,,other,,,requirements adjacent,,,E,,confirmed,iso.org,webstore.iec.ch/en/publication/92576,2026-08-04
iso-iec-20000-7,20000,7,tr,2019,,Information technology — Service management — Part 7: Guidance on the integration and correlation of ISO/IEC 20000-1:2018 to ISO 9001:2015 and ISO/IEC 27001:2013,,published,,,other,,,adjacent,,,E,,confirmed,iso.org,webstore.iec.ch/en/publication/65536,2026-08-04
iso-sae-21434,21434,,is,2021,,Road vehicles — Cybersecurity engineering,,published,,,other,,,requirements sector,,,B,,confirmed,iso.org,evs.ee,2026-08-04
iso-28000,28000,,is,2022,,Security and resilience — Security management systems — Requirements,,published,ISO 28000:2007,,other,,,requirements adjacent,,,E,,confirmed,en.wikipedia.org/wiki/ISO_28000,,2026-08-04
iso-iec-42001,42001,,is,2023,,Information technology — Artificial intelligence — Management system,,published,,,other,,,requirements adjacent,,,E,,unconfirmed,iso.org,,2026-08-04
iec-81001-5-1,81001,5-1,is,2021,,"Health software and health IT systems safety, effectiveness and security — Part 5-1: Security — Activities in the product life cycle",,published,,,other,,,requirements audit sector,,,B,,confirmed,iso.org,bsbedge.com,2026-08-04
