id,number,part,doc_type,edition_year,amendments,title_en,title_de,status,replaces,replaced_by,family,layer,layer_reason,isms_relation,supports_clauses,supports_controls,test,test_via,confirmation,source_1,source_2,read_on
iso-iec-20889,20889,,is,2018,,Privacy enhancing data de-identification terminology and classification of techniques,,published,,,privacy-identity,,,terms,,,B,,confirmed,buystandardsonline.co.uk,evs.ee,2026-08-04
iso-iec-24745,24745,,is,2022,,"Information security, cybersecurity and privacy protection — Biometric information protection",,published,,,privacy-identity,,,,,,A B,,confirmed,buystandardsonline.co.uk,standards.iteh.ai,2026-08-04
iso-iec-24760-1,24760,1,is,2025,,"Information security, cybersecurity and privacy protection — A framework for identity management — Part 1: Core concepts and terminology",,published,,,privacy-identity,,,terms controls,,,A B,,confirmed,iso.org,webstore.iec.ch/en/publication/109818,2026-08-04
iso-iec-24760-2,24760,2,is,2025,,"Information security, cybersecurity and privacy protection — A framework for identity management — Part 2: Reference architecture and requirements",,published,,,privacy-identity,,,requirements controls,,,A B,,confirmed,iso.org,webstore.iec.ch/en/publication/109819,2026-08-04
iso-iec-24760-3,24760,3,is,2025,,"Information security, cybersecurity and privacy protection — A framework for identity management — Part 3: Practice",,published,,,privacy-identity,,,,,,A B,,confirmed,iso.org,webstore.iec.ch/en/publication/109820,2026-08-04
iso-iec-27018,27018,,is,2025,,Guidelines for protection of personally identifiable information (PII) in public clouds acting as PII processors,,published,ISO/IEC 27018:2019,,privacy-identity,,,controls,,,A B C,iso-iec-27002,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27091,27091,,is,,,Cybersecurity and privacy — Artificial intelligence — Privacy protection,,under_development,,,privacy-identity,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27503,27503,,is,,,Privacy and security guidelines on intelligent travel services,,under_development,,,privacy-identity,,,sector,,,A B,,confirmed,iso27001security.com,genorma.com/en/standards/iso-iec-pwi-27503,2026-08-04
iso-iec-27504,27504,,is,,,Privacy protection of user avatar and system avatar interactions in the metaverse,,under_development,,,privacy-identity,,,,,,A B,,unconfirmed,iso27001security.com,,2026-08-04
iso-iec-27550,27550,,tr,2019,,Information technology — Security techniques — Privacy engineering for system life cycle processes,,published,,,privacy-identity,,,adjacent,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27551,27551,,is,2021,,"Information security, cybersecurity and privacy protection — Requirements for attribute-based unlinkable entity authentication",,published,,,privacy-identity,,,requirements,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27552,27552,,is,,,Security techniques — Extension to ISO/IEC 27001 and ISO/IEC 27002 for privacy information management (draft designation),,renumbered,,ISO/IEC 27701,privacy-identity,,,,,,A B,,confirmed,en.wikipedia.org/wiki/ISO/IEC_27701,iso27001security.com/html/27701,2026-08-04
iso-iec-27553-1,27553,1,is,2022,,Security and privacy requirements for authentication using biometrics on mobile devices — Part 1: Local modes,,published,,,privacy-identity,,,requirements,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27553-2,27553,2,is,2025,,Security and privacy requirements for authentication using biometrics on mobile devices — Part 2: Remote modes,,published,,,privacy-identity,,,requirements,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27555,27555,,is,2021,,"Information security, cybersecurity and privacy protection — Guidelines on personally identifiable information deletion",,published,,,privacy-identity,,,controls,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27556,27556,,is,2022,,"Information security, cybersecurity and privacy protection — User-centric privacy preferences management framework",,published,,,privacy-identity,,,,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27557,27557,,is,2022,,"Information security, cybersecurity and privacy protection — Application of ISO 31000:2018 for organizational privacy risk management",,published,,,privacy-identity,,,risk,,,A B,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27559,27559,,is,2022,,"Information security, cybersecurity and privacy protection — Privacy enhancing data de-identification framework",,published,,,privacy-identity,,,risk,,,A B,,confirmed,standards.iteh.ai,webstore.iec.ch,2026-08-04
iso-iec-27560,27560,,ts,2023,,Privacy technologies — Consent record information structure,,published,,,privacy-identity,,,,,,A B,,confirmed,webstore.iec.ch,webstore.ansi.org,2026-08-04
iso-iec-27561,27561,,is,2024,,"Information security, cybersecurity and privacy protection — Privacy operationalisation model and method for engineering (POMME)",,published,,,privacy-identity,,,controls,,,A B,,confirmed,iso.org/standard/80394.html,standards.iteh.ai,2026-08-04
iso-iec-27562,27562,,is,2024,,Information technology — Security techniques — Privacy guidelines for fintech services,,published,,,privacy-identity,,,sector,,,A B,,confirmed,standards.iteh.ai,webstore.ansi.org,2026-08-04
iso-iec-27563,27563,,tr,2023,,Security and privacy in artificial intelligence use cases — Best practices,,published,,,privacy-identity,,,audit,,,A B,,confirmed,iso.org/standard/80396.html,webstore.iec.ch,2026-08-04
iso-iec-27564,27564,,ts,2025,,Privacy protection — Guidance on the use of models for privacy engineering,,published,,,privacy-identity,,,,,,A B,,confirmed,ipen.trialog.com/wiki/ISO,iso.org/standard/89319.html,2026-08-04
iso-iec-27565,27565,,is,2026,,"Information security, cybersecurity and privacy protection — Guidelines on privacy preservation based on zero knowledge proofs",,published,,,privacy-identity,,,,,,A B,,confirmed,standards.iteh.ai,ipen.trialog.com/wiki/ISO,2026-08-04
iso-iec-27566-1,27566,1,is,2025,,Age assurance systems — Part 1: Framework,,published,,,privacy-identity,,,,,,A,,confirmed,iso27001security.com,evs.ee,2026-08-04
iso-iec-27566-2,27566,2,is,,,Age assurance systems — Part 2: Technical approaches and guidance for implementation,,under_development,,,privacy-identity,,,,,,A,,confirmed,iso27001security.com,biometricupdate.com,2026-08-04
iso-iec-27566-3,27566,3,is,,,Age assurance systems — Part 3: Approaches to analysis or comparison,,under_development,,,privacy-identity,,,,,,A,,confirmed,iso27001security.com,iso.org,2026-08-04
iso-iec-27568,27568,,ts,,,Security and privacy of digital twins,,under_development,,,privacy-identity,,,risk,,,A B,,confirmed,iso.org/standard/80400.html,ipen.trialog.com/wiki/ISO,2026-08-04
iso-iec-27569,27569,,ts,,,Personally identifiable information (PII) processing record information structure,,deleted,,ISO/IEC 27560,privacy-identity,,,,,,A B,,confirmed,genorma.com,,2026-08-04
iso-iec-27570,27570,,ts,2021,,Privacy protection — Privacy guidelines for smart cities,,published,,,privacy-identity,,,,,,A B,,confirmed,webstore.ansi.org,standards.iteh.ai,2026-08-04
iso-iec-27573,27573,,is,,,Privacy protection of user avatar and system avatar interactions in the metaverse,,under_development,,,privacy-identity,,,,,,A B,,confirmed,iso.org/standard/89525.html,ipen.trialog.com/wiki/ISO,2026-08-04
iso-iec-27574,27574,,is,,,"Information security, cybersecurity and privacy protection — Privacy in brain computer interface (BCI) applications",,under_development,,,privacy-identity,,,controls,,,A B,,confirmed,iso.org/standard/90717.html,ipen.trialog.com/wiki/ISO,2026-08-04
iso-iec-27701,27701,,is,2025,,"Information security, cybersecurity and privacy protection — Privacy information management systems — Requirements and guidance",,published,ISO/IEC 27701:2019,,privacy-identity,,,requirements,,,A B C,iso-iec-27001,confirmed,ipen.trialog.com/wiki/ISO,a-lign.com,2026-08-04
