source_scheme,source_id,target_scheme,target_id,relation,rationale_de,rationale_en,origin,read_on
iso-iec-27001:2022,4.1,iso-iec-27002:2022,,none,"Der Blick auf das Umfeld der Organisation ist keine Maßnahme. Der Anhang trägt dafür keine Nummer, und was das Umfeld an Anforderungen mitbringt, steht in dieser Tabelle bei 4.2.","The outward view of what surrounds the organisation is not a control. The annex carries no number for it, and what the surroundings bring in as requirements stands at 4.2 in this table.",own_reading,2026-08-06
iso-iec-27001:2022,4.2,iso-iec-27002:2022,5.31,partial,"Die Anforderung fragt nach den Erwartungen interessierter Parteien. Die Maßnahme deckt davon den Teil, der als rechtliche, gesetzliche, regulatorische oder vertragliche Anforderung auftritt; eine Erwartung ohne diesen Charakter bleibt außerhalb.","The requirement asks for the expectations of interested parties. The control covers the part of them that appears as a legal, statutory, regulatory or contractual requirement; an expectation without that character stays outside.",own_reading,2026-08-06
iso-iec-27001:2022,4.3,iso-iec-27002:2022,,none,"Der Schnitt des Geltungsbereichs ist eine Festlegung der Organisation. Der Anhang trägt keine Nummer dafür, weil eine Maßnahme den Geltungsbereich voraussetzt statt ihn zu ziehen.","The cut of the scope is a determination by the organisation. The annex carries no number for it, because a control presupposes the scope rather than drawing it.",own_reading,2026-08-06
iso-iec-27001:2022,4.4,iso-iec-27002:2022,,none,Gegenstand dieser Anforderung ist das Managementsystem selbst. Eine einzelne Maßnahme steht darin und stellt es nicht her.,The subject of this requirement is the management system itself. A single control stands inside it and does not produce it.,own_reading,2026-08-06
iso-iec-27001:2022,5.1,iso-iec-27002:2022,5.1,partial,"Die Anforderung verlangt von der obersten Leitung, dass sie das Managementsystem trägt. Die Maßnahme deckt davon den Teil, in dem die Leitung Richtlinien festlegt und genehmigt; der übrige Teil, etwa die Bereitstellung von Mitteln, hat im Anhang keine Nummer.","The requirement asks top management to carry the management system. The control covers the part of that in which leadership settles and approves policies; the rest, such as providing resources, has no number in the annex.",own_reading,2026-08-06
iso-iec-27001:2022,5.2,iso-iec-27002:2022,5.1,partial,"Die Anforderung verlangt die Politik zur Informationssicherheit und sagt, was in ihr stehen muss. Die Maßnahme verlangt, dass es die Richtlinie und die Regeln darunter gibt, dass sie genehmigt sind und dass sie überprüft werden.","The requirement asks for the information security policy and says what has to stand in it. The control asks that the policy and the rules under it exist, that they are approved and that they are reviewed.",own_reading,2026-08-06
iso-iec-27001:2022,5.3,iso-iec-27002:2022,5.2,partial,"Rollen und Verantwortlichkeiten werden auf beiden Seiten festgelegt. Die Anforderung richtet sich an die Leitung und deren Zuweisung, die Maßnahme an die Festlegung im Betrieb.","Roles and responsibilities are settled on both sides. The requirement addresses leadership and its assignment, the control the settlement in operation.",own_reading,2026-08-06
iso-iec-27001:2022,5.3,iso-iec-27002:2022,5.3,partial,"Die Trennung von Aufgaben ist der Teil der Zuweisung, den die Anforderung nicht eigens nennt und die Maßnahme zum Gegenstand hat.",Segregation of duties is the part of that assignment which the requirement does not name separately and which the control has as its subject.,own_reading,2026-08-06
iso-iec-27001:2022,6.1.1,iso-iec-27002:2022,,none,"Der Umgang mit Risiken und Chancen auf der Ebene des Managementsystems hat im Anhang keine Entsprechung. Die Maßnahmen setzen dort an, wo ein Risiko bereits behandelt wird.",Handling risks and opportunities at the level of the management system has no counterpart in the annex. The controls start where a risk is already being treated.,own_reading,2026-08-06
iso-iec-27001:2022,6.1.2,iso-iec-27002:2022,5.9,partial,Die Anforderung verlangt ein Verfahren zur Risikobeurteilung. Die Maßnahme liefert mit dem Verzeichnis der Werte eine seiner Eingangsgrößen; das Verfahren selbst steht im Anhang nicht.,The requirement asks for a risk assessment process. The control supplies one of its inputs with the inventory of assets; the process itself does not stand in the annex.,own_reading,2026-08-06
iso-iec-27001:2022,6.1.2,iso-iec-27002:2022,5.12,partial,"Die Einstufung nach Schutzbedarf ist eine weitere Eingangsgröße derselben Beurteilung. Die Anforderung schreibt sie nicht vor, die Maßnahme beschreibt sie.","Grading by protection need is a further input to the same assessment. The requirement does not prescribe it, the control describes it.",own_reading,2026-08-06
iso-iec-27001:2022,6.1.3,iso-iec-27002:2022,,none,"Diese Anforderung zeigt auf den Anhang als Ganzes: sie verlangt, die bestimmten Maßnahmen gegen ihn zu halten. Ein einzelnes Gegenstück gibt es deshalb nicht, und den Anhang hier aufzuzählen wäre eine übernommene Liste.","This requirement points at the annex as a whole: it asks for the determined controls to be held against it. So there is no single counterpart, and enumerating the annex here would be an adopted list.",own_reading,2026-08-06
iso-iec-27001:2022,6.2,iso-iec-27002:2022,,none,Ziele der Informationssicherheit und die Planung ihrer Erreichung sind eine Anforderung an das Managementsystem. Der Anhang trägt keine Nummer dafür.,Information security objectives and the planning to reach them are a requirement on the management system. The annex carries no number for them.,own_reading,2026-08-06
iso-iec-27001:2022,7.1,iso-iec-27002:2022,,none,"Die Bereitstellung von Mitteln hat im Anhang keine Entsprechung. Sie ist die Voraussetzung dafür, dass eine Maßnahme umgesetzt werden kann, und keine Maßnahme.",Providing resources has no counterpart in the annex. It is the precondition for a control to be put in place and not a control.,own_reading,2026-08-06
iso-iec-27001:2022,7.2,iso-iec-27002:2022,6.3,partial,Die Anforderung verlangt Kompetenz der handelnden Personen und einen Nachweis darüber. Die Maßnahme deckt davon die Schulung; der Nachweis bleibt Sache der Anforderung.,The requirement asks for competence of the people acting and for evidence of it. The control covers the training part of that; the evidence stays with the requirement.,own_reading,2026-08-06
iso-iec-27001:2022,7.3,iso-iec-27002:2022,6.3,partial,"Bewusstsein ist der zweite Teil derselben Maßnahme. Die Anforderung richtet sich an alle, die unter der Aufsicht der Organisation arbeiten, die Maßnahme an das, was ihnen dafür angeboten wird.","Awareness is the second part of the same control. The requirement addresses everyone working under the organisation's control, the control what is offered to them for it.",own_reading,2026-08-06
iso-iec-27001:2022,7.4,iso-iec-27002:2022,,none,"Die Kommunikation über das Managementsystem hat im Anhang keine Nummer. Der Meldeweg für Ereignisse, der ihr am nächsten kommt, gehört zur Behandlung von Vorfällen und nicht zu dieser Anforderung.","Communication about the management system has no number in the annex. The reporting route for events, which comes closest to it, belongs to incident handling and not to this requirement.",own_reading,2026-08-06
iso-iec-27001:2022,7.5,iso-iec-27002:2022,5.37,partial,"Dokumentierte Information verlangt die Anforderung, und die Maßnahme formt sie für den Betrieb aus: dokumentierte Betriebsabläufe sind ein Teil dessen, was die Anforderung lenkt.","The requirement asks for documented information, and the control shapes it for operation: documented operating procedures are one part of what the requirement steers.",own_reading,2026-08-06
iso-iec-27001:2022,7.5,iso-iec-27002:2022,5.33,partial,Zur Lenkung dokumentierter Information gehören Aufbewahrung und Unverfälschtheit über die Aufbewahrungszeit. Genau das ist der Gegenstand dieser Maßnahme.,Steering documented information includes retention and integrity over the retention period. That is exactly the subject of this control.,own_reading,2026-08-06
iso-iec-27001:2022,8.1,iso-iec-27002:2022,8.32,partial,"Die Anforderung verlangt, dass geplante Änderungen gesteuert werden. Die Maßnahme beschreibt das geordnete Verfahren dafür; der übrige Teil der Anforderung, die Durchführung der geplanten Maßnahmen, verteilt sich über den Anhang und wird hier nicht aufgezählt.","The requirement asks for planned changes to be steered. The control describes the orderly course for that; the rest of the requirement, carrying out the planned controls, spreads across the annex and is not enumerated here.",own_reading,2026-08-06
iso-iec-27001:2022,8.2,iso-iec-27002:2022,,none,Die Durchführung der Risikobeurteilung ist ein Verfahren und keine Maßnahme. Ihre Eingangsgrößen stehen in dieser Tabelle bei 6.1.2.,Carrying out the risk assessment is a process and not a control. Its inputs stand at 6.1.2 in this table.,own_reading,2026-08-06
iso-iec-27001:2022,8.3,iso-iec-27002:2022,,none,"Die Durchführung der Risikobehandlung ist ebenfalls ein Verfahren. Ihr Ergebnis ist die Erklärung zur Anwendbarkeit, und die zeigt auf den Anhang als Ganzes und nicht auf eine Nummer.","Carrying out the risk treatment is a process as well. Its result is the statement of applicability, and that points at the annex as a whole rather than at one number.",own_reading,2026-08-06
iso-iec-27001:2022,9.1,iso-iec-27002:2022,5.36,partial,"Die Anforderung verlangt, Leistung und Wirksamkeit zu bewerten. Die Maßnahme liefert einen Teil der Datengrundlage dafür, nämlich die Prüfung, ob die eigenen Regeln eingehalten werden.","The requirement asks for performance and effectiveness to be evaluated. The control supplies part of the data for that, namely the check whether one's own rules are actually kept.",own_reading,2026-08-06
iso-iec-27001:2022,9.1,iso-iec-27002:2022,8.16,partial,"Die Überwachung des Betriebs auf auffällige Ereignisse liefert einen weiteren Teil derselben Datengrundlage. Sie ist nicht die Bewertung selbst: die Anforderung fragt nach dem Managementsystem, die Maßnahme nach dem laufenden Betrieb.","Monitoring operations for conspicuous events supplies a further part of the same data. It is not the evaluation itself: the requirement asks about the management system, the control about running operations.",own_reading,2026-08-06
iso-iec-27001:2022,9.2,iso-iec-27002:2022,5.35,partial,"Internes Audit und unabhängige Überprüfung der Informationssicherheit haben denselben Zweck und nicht denselben Umfang. Die Anforderung legt Programm, Kriterien und Berichterstattung fest, die Maßnahme verlangt, dass unabhängig geprüft wird.","The internal audit and the independent review of information security have the same purpose and not the same extent. The requirement settles programme, criteria and reporting, the control asks that the review is independent.",own_reading,2026-08-06
iso-iec-27001:2022,9.2,iso-iec-27002:2022,8.34,partial,"Dass eine Prüfung den laufenden Betrieb nicht stört, ist der Teil des Audits, den die Maßnahme regelt und die Anforderung nicht nennt.",That a check does not disturb running operations is the part of the audit which the control settles and the requirement does not name.,own_reading,2026-08-06
iso-iec-27001:2022,9.3,iso-iec-27002:2022,,none,"Die Managementbewertung ist eine Anforderung an die oberste Leitung. Der Anhang trägt keine Nummer dafür, und die Zahlen, die in ihr vorgelegt werden, stehen in dieser Tabelle bei 9.1.","The management review is a requirement on top management. The annex carries no number for it, and the figures laid before it stand at 9.1 in this table.",own_reading,2026-08-06
iso-iec-27001:2022,10.1,iso-iec-27002:2022,,none,Die fortlaufende Verbesserung ist eine Anforderung an das Managementsystem und keine einzelne Maßnahme.,Continual improvement is a requirement on the management system and not a single control.,own_reading,2026-08-06
iso-iec-27001:2022,10.2,iso-iec-27002:2022,5.27,partial,"Nichtkonformität und Korrekturmaßnahme sind der Gegenstand der Anforderung. Die Maßnahme deckt davon den Weg, auf dem eine Erkenntnis aus einem Vorfall in eine Änderung mündet; eine Nichtkonformität ohne Vorfall bleibt außerhalb.",Nonconformity and corrective action are the subject of the requirement. The control covers the way in which a finding from an incident leads to a change; a nonconformity without an incident stays outside.,own_reading,2026-08-06
